Timestep1X;Timestep1Y;Timestep2X;Timestep2Y;Timestep3X;Timestep3Y;Timestep4X;Timestep4Y;Timestep5X;Timestep5Y;Timestep6X;Timestep6Y;Timestep7X;Timestep7Y;Timestep8X;Timestep8Y;Timestep9X;Timestep9Y;Timestep10X;Timestep10Y;Timestep11X;Timestep11Y;Timestep12X;Timestep12Y;Timestep13X;Timestep13Y;Timestep14X;Timestep14Y;Timestep15X;Timestep15Y;Timestep16X;Timestep16Y;Timestep17X;Timestep17Y;Timestep18X;Timestep18Y;Timestep19X;Timestep19Y;Timestep20X;Timestep20Y;Timestep21X;Timestep21Y;Timestep22X;Timestep22Y;Timestep23X;Timestep23Y;Timestep24X;Timestep24Y;Timestep25X;Timestep25Y;Timestep26X;Timestep26Y;Timestep27X;Timestep27Y;Timestep28X;Timestep28Y;Timestep29X;Timestep29Y;Timestep30X;Timestep30Y;Timestep31X;Timestep31Y;Timestep32X;Timestep32Y;Timestep33X;Timestep33Y;Timestep34X;Timestep34Y;Timestep35X;Timestep35Y;Timestep36X;Timestep36Y;Timestep37X;Timestep37Y;Timestep38X;Timestep38Y;Timestep39X;Timestep39Y;Timestep40X;Timestep40Y;Timestep41X;Timestep41Y;Timestep42X;Timestep42Y;Timestep43X;Timestep43Y;Timestep44X;Timestep44Y;Timestep45X;Timestep45Y;Timestep46X;Timestep46Y;Timestep47X;Timestep47Y;Timestep48X;Timestep48Y;Timestep49X;Timestep49Y;Timestep50X;Timestep50Y;Timestep51X;Timestep51Y;Timestep52X;Timestep52Y;Timestep53X;Timestep53Y;Timestep54X;Timestep54Y;Timestep55X;Timestep55Y;Timestep56X;Timestep56Y;Timestep57X;Timestep57Y;Timestep58X;Timestep58Y;Timestep59X;Timestep59Y;Timestep60X;Timestep60Y
-31;-27;-32;-27;-31;-27;-31;-26;-32;-25;-33;-26;-33;-25;-33;-25;-32;-24;-32;-23;-32;-22;-33;-22;-33;-23;-33;-23;-33;-23;-33;-23;-33;-23;-32;-23;-31;-22;-31;-21;-30;-21;-30;-20;-29;-20;-30;-20;-30;-20;-30;-21;-31;-21;-32;-20;-33;-21;-32;-22;-31;-21;-30;-22;-31;-21;-32;-21;-33;-22;-32;-21;-33;-22;-34;-23;-35;-23;-35;-22;-35;-22;-34;-21;-34;-22;-34;-22;-33;-22;-33;-21;-32;-20;-32;-21;-33;-21;-34;-20;-34;-20;-33;-21;-32;-22;-32;-23;-32;-24;-33;-23;-32;-24;-33;-25;-34;-25;-33;-26
-48;5;-47;6;-47;6;-46;7;-46;7;-46;6;-47;7;-47;7;-47;7;-47;8;-46;8;-47;8;-47;7;-47;7;-47;6;-47;5;-48;5;-49;6;-50;7;-51;7;-51;8;-50;8;-50;9;-49;9;-50;9;-50;8;-50;8;-49;7;-48;6;-49;6;-49;5;-50;4;-49;4;-48;3;-49;4;-48;3;-47;3;-46;2;-47;2;-48;1;-48;2;-47;1;-47;1;-46;0;-47;0;-46;1;-45;2;-45;2;-45;3;-46;4;-47;3;-48;2;-47;3;-47;2;-48;1;-48;2;-47;1;-46;2;-46;3;-47;3
-27;38;-28;37;-28;36;-28;35;-28;34;-28;34;-29;34;-28;33;-27;34;-27;33;-26;32;-26;33;-25;33;-26;32;-27;31;-26;32;-27;33;-28;32;-29;31;-29;31;-30;31;-29;32;-29;31;-28;31;-29;31;-30;32;-29;31;-29;32;-30;31;-29;31;-28;31;-27;31;-26;31;-25;30;-24;30;-25;29;-25;29;-24;30;-23;30;-23;30;-24;31;-23;31;-23;30;-24;30;-23;31;-22;31;-23;30;-24;30;-24;29;-25;29;-26;30;-26;30;-26;29;-26;28;-26;28;-25;28;-26;28;-27;28;-26;29;-27;28
-57;-21;-58;-20;-59;-20;-60;-21;-60;-22;-59;-21;-60;-20;-60;-20;-60;-21;-59;-20;-58;-21;-59;-20;-59;-20;-60;-20;-60;-20;-60;-21;-60;-21;-60;-22;-60;-22;-60;-22;-60;-23;-60;-24;-59;-25;-59;-24;-60;-24;-60;-24;-60;-25;-60;-26;-60;-25;-59;-26;-58;-26;-59;-25;-59;-25;-60;-26;-60;-27;-60;-26;-60;-25;-60;-25;-59;-26;-59;-27;-58;-26;-57;-26;-57;-25;-57;-24;-58;-24;-57;-24;-57;-24;-56;-24;-56;-24;-57;-23;-58;-23;-57;-23;-58;-24;-58;-24;-59;-24;-60;-25;-60;-25;-60;-24;-60;-23;-60;-23
-33;59;-33;58;-34;58;-35;57;-36;57;-36;57;-35;57;-36;58;-35;58;-36;58;-37;59;-37;60;-37;59;-36;59;-36;58;-36;59;-35;60;-34;59;-35;60;-35;59;-36;58;-36;58;-35;57;-36;58;-36;59;-35;59;-34;60;-35;60;-34;60;-34;60;-35;60;-36;60;-36;60;-35;60;-36;59;-36;60;-36;60;-35;59;-35;59;-35;60;-36;60;-37;59;-37;58;-36;59;-35;59;-35;58;-34;58;-33;57;-34;58;-35;59;-35;60;-35;60;-35;60;-36;59;-36;58;-37;57;-38;57;-39;57;-38;56;-39;55
41;-33;41;-34;40;-33;41;-32;41;-33;40;-33;39;-33;39;-32;39;-33;40;-34;40;-33;40;-34;39;-35;39;-34;38;-34;39;-35;38;-35;37;-35;38;-34;39;-33;38;-34;39;-34;39;-34;38;-35;38;-34;38;-33;39;-34;40;-34;40;-33;41;-34;41;-33;40;-32;40;-31;39;-31;40;-32;39;-32;40;-33;39;-32;40;-31;41;-32;41;-31;42;-31;43;-32;44;-31;45;-32;45;-32;44;-33;44;-34;44;-33;45;-34;45;-34;46;-33;45;-34;46;-33;46;-34;47;-35;48;-36;49;-35;50;-36;51;-35
34;-14;34;-15;35;-15;36;-15;35;-15;34;-14;35;-14;35;-14;36;-14;35;-13;34;-14;33;-15;34;-16;35;-16;36;-15;37;-16;38;-16;38;-15;38;-15;38;-15;39;-16;40;-15;40;-14;40;-14;40;-14;40;-15;40;-14;40;-14;39;-13;38;-13;38;-12;37;-12;37;-11;36;-10;36;-11;36;-12;36;-11;37;-10;36;-9;37;-9;38;-10;39;-9;39;-10;38;-11;38;-11;37;-10;37;-10;38;-10;37;-10;38;-10;38;-11;38;-12;37;-13;37;-13;38;-12;37;-11;37;-12;36;-12;36;-11;35;-12
-2;-22;-2;-21;-2;-22;-1;-23;-2;-24;-3;-23;-4;-24;-5;-25;-5;-25;-4;-24;-3;-25;-3;-24;-3;-23;-2;-22;-2;-23;-2;-23;-1;-23;-1;-22;0;-21;1;-22;1;-21;2;-21;2;-20;2;-20;3;-19;4;-20;5;-20;5;-20;5;-21;5;-20;5;-21;4;-22;4;-21;3;-20;4;-21;5;-20;5;-20;6;-20;5;-20;6;-20;5;-20;5;-20;6;-21;7;-22;6;-23;7;-23;6;-23;7;-22;8;-21;9;-21;8;-21;9;-21;9;-20;8;-20;9;-20;10;-20;10;-20;11;-20;10;-21;11;-21
58;9;57;8;57;8;58;7;58;7;58;7;58;8;59;8;59;7;58;7;59;8;58;8;59;8;60;8;59;8;58;8;59;8;60;8;60;9;60;10;60;9;60;10;59;10;59;11;58;12;57;12;58;12;58;11;59;10;59;9;59;10;59;9;58;9;57;8;58;9;59;10;59;11;59;11;58;10;59;9;60;8;60;8;60;9;60;10;59;9;58;9;57;8;58;7;57;7;57;8;57;8;56;7;55;6;56;5;57;5;58;5;57;4;58;5;57;5;56;6
-34;12;-33;11;-34;11;-33;10;-32;10;-32;9;-31;9;-30;8;-30;8;-30;9;-30;8;-29;8;-29;8;-29;9;-28;9;-29;9;-30;9;-31;9;-32;8;-31;8;-31;7;-32;6;-33;6;-32;7;-33;7;-33;6;-34;6;-34;7;-35;7;-35;7;-35;7;-35;8;-35;7;-35;7;-34;8;-35;7;-36;6;-36;5;-37;5;-37;6;-38;7;-38;6;-38;6;-38;5;-37;5;-37;6;-37;6;-38;5;-37;6;-37;6;-37;5;-36;4;-35;4;-35;3;-36;4;-36;3;-35;4;-35;4;-34;4;-33;3
